Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 1/15/2018 12:16:51 PM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\WIS\C125\C125_wis.SGF,,,,,,,,,,,
Panel: Pc C125,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A07_PCP1_544331.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A07_PCP1_544331.fsa,Green,249.8,12839,80665,249,249,0.6,Pass,500,,
A07_PCP1_544331.fsa,Green,257.5,11815,67519,257,257,0.4,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A08_PWO7_544339.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A08_PWO7_544339.fsa,Green,249,13574,85671,249,249,0.2,Pass,500,,
A08_PWO7_544339.fsa,Green,263.7,13957,83843,264,264,0.3,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: B07_PCP2_544332.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
B07_PCP2_544332.fsa,Green,241.1,6771,42740,241,241,0.2,Pass,500,,
B07_PCP2_544332.fsa,Green,253.6,7526,43671,253,253,0.5,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: B08_PWO8_544340.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
B08_PWO8_544340.fsa,Green,248.8,15576,109661,249,249,0.4,Pass,500,,
B08_PWO8_544340.fsa,Green,283.8,14313,90683,284,284,0.3,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: C07_PWO1_544333.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
C07_PWO1_544333.fsa,Green,232.4,12948,97424,232,232,0.2,Pass,500,,
C07_PWO1_544333.fsa,Green,249.7,13013,89124,249,249,0.5,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 6: C08_PWO9_544341.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
C08_PWO9_544341.fsa,Green,248.8,15082,134233,249,249,0.4,Pass,500,,
C08_PWO9_544341.fsa,Green,263.6,12642,102836,264,264,0.4,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 7: D07_PWO2_544334.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
D07_PWO2_544334.fsa,Green,257.4,14440,85786,257,257,0.3,Pass,500,,
D07_PWO2_544334.fsa,Green,268.1,14618,87427,268,268,0.1,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 8: D08_PWO10_544342.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
D08_PWO10_544342.fsa,Green,248.9,12923,79607,249,249,0.3,Pass,500,,
D08_PWO10_544342.fsa,Green,264.6,10668,65001,264,264,0.6,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 9: E07_PWO3_544335.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
E07_PWO3_544335.fsa,Green,249.7,13122,96400,249,249,0.5,Pass,500,[<SAT (Repaired)><Confirmed>],SR
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 10: F07_PWO4_544336.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
F07_PWO4_544336.fsa,Green,245.3,12908,85658,245,245,0.3,Pass,500,,
F07_PWO4_544336.fsa,Green,264.2,12028,72791,264,264,0.2,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 11: G07_PWO5_544337.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
G07_PWO5_544337.fsa,Green,249.6,5441,34858,249,249,0.4,Pass,500,,
G07_PWO5_544337.fsa,Green,268,5946,35929,268,268,0.2,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 12: H07_PWO6_544338.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
H07_PWO6_544338.fsa,Green,269.2,3783,22540,268,268,1,Pass,500,,
