"Sample_ID","D10"
"130-1_539331.f","272"
"130-1_539331.f","287"
"130-2_539332.f","276"
"130-2_539332.f","310"
"130-3_539333.f","260"
"130-3_539333.f","268"
"236-1_539334.f","272"
"236-2_539335.f","260"
"236-2_539335.f","280"
"237-1_539336.f","272"
"237-2_539337.f","287"
"237-2_539337.f","291"
"237-3_539338.f","284"
"237-3_539338.f","291"
"238-1_539339.f","276"
"238-1_539339.f","298"
"238-2_539340.f","272"
"238-2_539340.f","287"
"238-3_539341.f","284"
"238-3_539341.f","318"
"238-4_539342.f","260"
"238-4_539342.f","287"
"A1_539313.fsa","284"
"A1_539313.fsa","294"
"A2_539314.fsa","268"
"A2_539314.fsa","287"
"ALL1_539259.fs","264"
"ALL1_539259.fs","280"
"ALL10_539268.f","260"
"ALL10_539268.f","264"
"ALL11_539269.f","260"
"ALL11_539269.f","284"
"ALL12_539270.f","287"
"ALL12_539270.f","298"
"ALL13_539271.f","280"
"ALL13_539271.f","287"
"ALL14_539272.f","280"
"ALL15_539273.f","291"
"ALL16_539274.f","272"
"ALL16_539274.f","280"
"ALL17_539275.f","272"
"ALL17_539275.f","280"
"ALL18_539276.f","291"
"ALL19_539277.f","272"
"ALL19_539277.f","280"
"ALL2_539260.fs","272"
"ALL2_539260.fs","298"
"ALL20_539278.f","272"
"ALL20_539278.f","280"
"ALL3_539261.fs","260"
"ALL4_539262.fs","256"
"ALL4_539262.fs","294"
"ALL5_539263.fs","272"
"ALL5_539263.fs","280"
"ALL6_539264.fs","280"
"ALL7_539265.fs","260"
"ALL7_539265.fs","276"
"ALL8_539266.fs","256"
"ALL9_539267.fs","272"
"BEF-07212-01_5","260"
"BEF-07212-01_5","280"
"BEF-07212-02_5","276"
"BEF-07212-03_5","284"
"BEF-07212-03_5","294"
"BEF-07212-05_5","254"
"C024_539325.fs","294"
"C024_539325.fs","302"
"C033_539324.fs","272"
"C033_539324.fs","276"
"C041_539323.fs","291"
"C041_539323.fs","294"
"C219_539322.fs","248"
"C219_539322.fs","284"
"Chip-01_539279","291"
"Chip-01_539279","298"
"Chip-02_539280","260"
"Chip-03_539281","260"
"Chip-03_539281","280"
"Chip-04_539282","264"
"Chip-04_539282","280"
"Chip-07_539285","291"
"Chip-08_539286","276"
"Chip-08_539286","298"
"Chip-09_539287","276"
"Chip-09_539287","291"
"Chip-10_539288","264"
"Chip-10_539288","287"
"Chip-11_539289","291"
"Chip-12_539290","264"
