"Sample_ID","D113"
"130-1_538861.f","277"
"130-1_538861.f","289"
"130-2_538862.f","285"
"130-2_538862.f","289"
"130-3_538863.f","277"
"130-3_538863.f","403"
"236-1_538864.f","274"
"236-2_538865.f","289"
"237-1_538866.f","572"
"237-2_538867.f","289"
"237-3_538868.f","285"
"237-3_538868.f","289"
"238-1_538869.f","285"
"238-1_538869.f","296"
"238-2_538870.f","274"
"238-2_538870.f","285"
"238-3_538871.f","281"
"238-4_538872.f","289"
"A1_538837.fsa","296"
"A1_538837.fsa","300"
"A2_538838.fsa","296"
"ALL1_538782.fs","293"
"ALL1_538782.fs","325"
"ALL10_538791.f","277"
"ALL10_538791.f","281"
"ALL11_538792.f","281"
"ALL12_538793.f","277"
"ALL13_538794.f","277"
"ALL13_538794.f","300"
"ALL14_538795.f","277"
"ALL15_538796.f","281"
"ALL16_538797.f","281"
"ALL16_538797.f","325"
"ALL17_538798.f","269"
"ALL18_538799.f","289"
"ALL19_538800.f","277"
"ALL19_538800.f","281"
"ALL2_538783.fs","281"
"ALL2_538783.fs","293"
"ALL20_538801.f","274"
"ALL20_538801.f","296"
"ALL3_538784.fs","274"
"ALL3_538784.fs","325"
"ALL4_538785.fs","277"
"ALL4_538785.fs","281"
"ALL5_538786.fs","293"
"ALL5_538786.fs","296"
"ALL6_538787.fs","296"
"ALL7_538788.fs","296"
"ALL9_538790.fs","277"
"ALL9_538790.fs","325"
"BEF-07212-01_5","484"
"BEF-07212-02_5","304"
"BEF-07212-02_5","321"
"BEF-07212-03_5","289"
"BEF-07212-03_5","348"
"BEF-07212-05_5","304"
"BEF-07212-05_5","475"
"C024_538855.fs","300"
"C033_538854.fs","285"
"C041_538853.fs","274"
"C041_538853.fs","277"
"C219_538852.fs","281"
"C219_538852.fs","296"
"Chip-01_538802","293"
"Chip-01_538802","296"
"Chip-02_538803","296"
"Chip-02_538803","309"
"Chip-03_538804","296"
"Chip-03_538804","300"
"Chip-04_538805","296"
"Chip-04_538805","325"
"Chip-05_541185","296"
"Chip-07_538808","293"
"Chip-07_538808","296"
"Chip-08_538809","293"
"Chip-08_538809","296"
"Chip-09_538810","296"
"Chip-09_538810","300"
"Chip-10_538811","309"
"Chip-10_538811","325"
"Chip-11_538812","296"
"Chip-12_538813","296"
"Chip-13_538814","296"
"Chip-14_538815","296"
"Chip-14_538815","321"
"Chip-15_538816","293"
"Chip-15_538816","296"
"Chip-16_538817","293"
