"Sample_ID","D125"
"130-1_539175.f","278"
"130-2_539176.f","260"
"130-2_539176.f","274"
"130-3_539177.f","256"
"130-3_539177.f","264"
"236-1_539178.f","260"
"236-1_539178.f","267"
"236-2_539179.f","260"
"237-1_539180.f","267"
"237-1_539180.f","278"
"237-2_539181.f","252"
"237-2_539181.f","274"
"237-3_539182.f","245"
"237-3_539182.f","249"
"238-1_539183.f","260"
"238-1_539183.f","264"
"238-2_539184.f","260"
"238-2_539184.f","267"
"238-3_539185.f","245"
"238-3_539185.f","256"
"238-4_539186.f","274"
"238-4_539186.f","278"
"A1_539157.fsa","249"
"A1_539157.fsa","271"
"A2_539158.fsa","256"
"A2_539158.fsa","264"
"ALL1_539102.fs","256"
"ALL1_539102.fs","281"
"ALL10_539111.f","256"
"ALL10_539111.f","278"
"ALL11_539112.f","256"
"ALL11_539112.f","264"
"ALL12_539113.f","274"
"ALL12_539113.f","281"
"ALL13_539114.f","271"
"ALL13_539114.f","281"
"ALL14_539115.f","264"
"ALL14_539115.f","278"
"ALL15_539116.f","274"
"ALL15_539116.f","278"
"ALL16_539117.f","264"
"ALL16_539117.f","281"
"ALL17_539118.f","274"
"ALL17_539118.f","281"
"ALL18_539119.f","274"
"ALL18_539119.f","281"
"ALL19_539120.f","264"
"ALL19_539120.f","281"
"ALL2_539103.fs","256"
"ALL2_539103.fs","260"
"ALL20_539121.f","264"
"ALL20_539121.f","281"
"ALL3_539104.fs","256"
"ALL3_539104.fs","271"
"ALL4_539105.fs","256"
"ALL4_539105.fs","260"
"ALL5_539106.fs","260"
"ALL5_539106.fs","264"
"ALL6_539107.fs","256"
"ALL6_539107.fs","260"
"ALL7_539108.fs","264"
"ALL7_539108.fs","274"
"ALL8_539109.fs","256"
"ALL8_539109.fs","264"
"ALL9_539110.fs","271"
"ALL9_539110.fs","274"
"BEF-07212-01_5","245"
"BEF-07212-01_5","285"
"BEF-07212-02_5","245"
"BEF-07212-02_5","271"
"BEF-07212-03_5","245"
"BEF-07212-03_5","249"
"BEF-07212-05_5","267"
"BEF-07212-05_5","274"
"C024_539169.fs","264"
"C024_539169.fs","274"
"C033_539168.fs","245"
"C033_539168.fs","293"
"C041_539167.fs","271"
"C041_539167.fs","293"
"C219_539166.fs","245"
"C219_539166.fs","267"
"Chip-01_539122","245"
"Chip-01_539122","249"
"Chip-02_539123","249"
"Chip-02_539123","260"
"Chip-03_539124","249"
"Chip-04_539125","256"
"Chip-04_539125","278"
"Chip-05_539126","260"
"Chip-05_539126","271"
"Chip-05_540987","252"
"Chip-07_539128","260"
"Chip-07_539128","264"
"Chip-08_539129","264"
"Chip-08_539129","274"
"Chip-09_539130","256"
"Chip-09_539130","264"
"Chip-10_539131","245"
"Chip-11_539132","264"
"Chip-12_539133","264"
"Chip-12_539133","278"
"Chip-13_539134","241"
"Chip-13_539134","249"
"Chip-14_539135","278"
"Chip-15_539136","252"
"Chip-15_539136","274"
"Chip-16_539137","241"
"Chip-17_539138","264"
"Chip-17_539138","274"
"Chip-18_539139","267"
"Chip-18_539139","271"
"CHIP-19_539140","249"
"CHIP-19_539140","256"
"Chip-20_539141","245"
"Chip-20_539141","274"
"Chip-21_539142","249"
"Chip-21_539142","256"
"Chip6_539127.f","260"
"Chip6_539127.f","281"
"INHS-22893_539","256"
"INHS-22893_539","264"
"INHS-30476_539","249"
"INHS-30476_539","274"
"INHS-6271_5409","252"
"m-07-01_539145","274"
"m-07-01_539145","278"
"m-07-03_539147","271"
"m-07-04_539148","249"
"m-07-04_539148","271"
"m-07-05_539149","256"
"m-07-05_539149","260"
"m-07-06_539150","256"
"m-07-07_540988","241"
"m-07-07_540988","245"
"MER2_539146.fs","260"
"MER2_539146.fs","267"
"Meramec-B_5391","260"
"Meramec-B_5391","267"
"MS1_539036.fsa","241"
"MS1_539036.fsa","260"
"MS10_539045.fs","241"
"MS10_539045.fs","278"
"MS11_539046.fs","241"
"MS11_539046.fs","285"
"MS12_539047.fs","256"
"MS12_539047.fs","264"
"MS13_539048.fs","245"
"MS13_539048.fs","256"
"MS14_539049.fs","256"
"MS15_539050.fs","252"
"MS15_539050.fs","256"
"MS16_539051.fs","256"
"MS16_539051.fs","267"
"MS17_539052.fs","249"
"MS17_539052.fs","278"
"MS18_539053.fs","245"
"MS18_539053.fs","274"
"MS19_539054.fs","264"
"MS19_539054.fs","271"
"MS2_539037.fsa","260"
"MS2_539037.fsa","264"
"MS20_539055.fs","241"
"MS20_539055.fs","271"
"MS21_539056.fs","252"
"MS21_539056.fs","256"
"MS22_539057.fs","260"
"MS23_539058.fs","249"
"MS23_539058.fs","285"
"MS24_539059.fs","241"
"MS24_539059.fs","252"
"MS25_539060.fs","256"
"MS25_539060.fs","281"
"MS26_539061.fs","245"
"MS26_539061.fs","256"
"MS27_539062.fs","252"
"MS27_539062.fs","281"
"MS28_539063.fs","256"
"MS28_539063.fs","278"
"MS29_539064.fs","256"
"MS3_539038.fsa","252"
"MS30_539065.fs","245"
"MS30_539065.fs","274"
"MS31_539066.fs","256"
"MS31_539066.fs","264"
"MS32_539067.fs","249"
"MS32_539067.fs","260"
"MS33_539068.fs","274"
"MS33_539068.fs","278"
"MS34_539069.fs","256"
"MS34_539069.fs","285"
"MS35_539070.fs","249"
"MS35_539070.fs","252"
"MS36_539071.fs","271"
"MS36_539071.fs","274"
"MS37_539072.fs","252"
"MS37_539072.fs","281"
"MS38_539073.fs","249"
"MS38_539073.fs","252"
"MS39_539074.fs","256"
"MS39_539074.fs","274"
"MS4_539039.fsa","256"
"MS4_539039.fsa","260"
"MS40_539075.fs","245"
"MS40_539075.fs","264"
"MS41_539076.fs","249"
"MS41_539076.fs","271"
"MS42_539077.fs","256"
"MS42_539077.fs","260"
"MS43_539078.fs","267"
"MS43_539078.fs","281"
"MS44_539079.fs","249"
"MS44_539079.fs","267"
"MS5_539040.fsa","267"
"MS5_539040.fsa","278"
"MS6_539041.fsa","256"
"MS6_539041.fsa","260"
"MS7_539042.fsa","252"
"MS7_539042.fsa","271"
"MS8_539043.fsa","252"
"MS8_539043.fsa","256"
"MS9_539044.fsa","274"
"Oil-City-A_539","267"
"Oil-City-B-_53","264"
"Oil-City-B-_53","278"
"PBH-1A_539080.","271"
"PBH-1A_539080.","281"
"PBH-2A_539081.","274"
"PBH-2A_539081.","290"
"PBH-3A_539082.","285"
"PBH-3A_539082.","293"
"PBH-4A_539083.","241"
"PBH-4A_539083.","256"
"PBH-5A_539084.","281"
"PBH-5A_539084.","296"
"Pcyph-TN-1_539","252"
"Pcyph-TN-1_539","271"
"PMC-1_539085.f","267"
"PMC-1_539085.f","281"
"PMC-10_539094.","260"
"PMC-10_539094.","267"
"PMC-2_539086.f","249"
"PMC-2_539086.f","256"
"PMC-3_539087.f","245"
"PMC-3_539087.f","278"
"PMC-4_539088.f","256"
"PMC-4_539088.f","267"
"PMC-5_539089.f","245"
"PMC-5_539089.f","271"
"PMC-6_539090.f","274"
"PMC-6_539090.f","278"
"PMC-7_539091.f","245"
"PMC-7_539091.f","267"
"PMC-8_539092.f","267"
"PMC-9_539093.f","260"
"PMC-9_539093.f","267"
"PMX-1_539095.f","249"
"PMX-1_539095.f","285"
"PMX-2_539096.f","267"
"PMX-2_539096.f","278"
"PMX-2_540986.f","245"
"PMX-3_539097.f","256"
"PMX-3_539097.f","264"
"PMX-4_539098.f","256"
"PMX-4_539098.f","278"
"PMX-5_539099.f","245"
"PMX-5_539099.f","267"
"TIPP4_539163.f","249"
"TIPP4_539163.f","267"
"TIPP6_539164.f","245"
"TIPP6_539164.f","264"
"TN2_539161.fsa","241"
"TN2_539161.fsa","260"
"TN8_539162.fsa","245"
"TN8_539162.fsa","274"
"UAUC3157_53916","245"
"WI92_539187.fs","249"
"WI92_539187.fs","264"
"WI93_539188.fs","249"
"WI94_539189.fs","256"
"WI94_539189.fs","267"
"WI95_539190.fs","260"
"WI95_539190.fs","271"
"WV1_539191.fsa","252"
"WV1_539191.fsa","271"
