"Sample_ID","C6"
"130-1_537410.f","226"
"130-1_537410.f","239"
"130-2_537411.f","209"
"130-2_537411.f","218"
"130-3_537412.f","213"
"130-3_537412.f","243"
"236-1_537413.f","213"
"236-1_537413.f","218"
"236-2_537414.f","209"
"236-2_537414.f","222"
"237-1_537415.f","209"
"237-1_537415.f","235"
"237-2_537416.f","209"
"237-2_537416.f","218"
"237-2_540955.f","209"
"237-2_540955.f","218"
"237-3_537417.f","209"
"237-3_537417.f","226"
"238-1_537418.f","209"
"238-1_537418.f","218"
"238-2_537419.f","213"
"238-2_537419.f","235"
"238-3_537420.f","209"
"238-3_537420.f","213"
"238-4_537421.f","192"
"238-4_537421.f","213"
"A1_537395.fsa","213"
"A1_537395.fsa","218"
"A2_537396.fsa","209"
"A2_537396.fsa","213"
"ALL1_537346.fs","218"
"ALL10_537354.f","209"
"ALL10_537354.f","226"
"ALL11_536148.f","218"
"ALL11_536148.f","226"
"ALL12_537355.f","213"
"ALL12_537355.f","226"
"ALL13_537356.f","204"
"ALL13_537356.f","226"
"ALL14_537357.f","192"
"ALL14_537357.f","213"
"ALL15_537358.f","196"
"ALL15_537358.f","213"
"ALL16_537359.f","204"
"ALL16_537359.f","213"
"ALL17_537360.f","213"
"ALL18_537361.f","218"
"ALL18_537361.f","226"
"ALL19_537362.f","226"
"ALL2_537347.fs","204"
"ALL2_537347.fs","226"
"ALL20_536149.f","209"
"ALL20_536149.f","213"
"ALL3_537348.fs","204"
"ALL3_537348.fs","213"
"ALL4_536147.fs","213"
"ALL5_537349.fs","204"
"ALL5_537349.fs","218"
"ALL6_537350.fs","192"
"ALL6_537350.fs","218"
"ALL7_537351.fs","204"
"ALL7_537351.fs","218"
"ALL8_537352.fs","204"
"ALL8_537352.fs","218"
"ALL9_537353.fs","204"
"ALL9_537353.fs","226"
"BEF-07212-01_5","209"
"BEF-07212-01_5","226"
"BEF-07212-02_5","192"
"BEF-07212-02_5","218"
"BEF-07212-03_5","200"
"BEF-07212-03_5","218"
"BEF-07212-05_5","218"
"BEF-07212-05_5","226"
"C024_537404.fs","204"
