"Sample_ID","F87"
"1A1_539505.fsa","146"
"1A1_539505.fsa","149"
"1A2_539506.fsa","142"
"1A2_539506.fsa","146"
"1A3_539507.fsa","142"
"1A3_539507.fsa","149"
"1A5_539509.fsa","146"
"1A5_539509.fsa","149"
"1A6_539510.fsa","142"
"1A6_539510.fsa","149"
"1A7_539511.fsa","126"
"1A7_539511.fsa","144"
"1A9_539513.fsa","153"
"1B1_539514.fsa","153"
"1B1_539514.fsa","155"
"1B2_539515.fsa","146"
"1B2_539515.fsa","155"
"1B3_539516.fsa","139"
"1B3_539516.fsa","146"
"1B4_539517.fsa","144"
"1B4_539517.fsa","149"
"1B6_539519.fsa","133"
"1B6_539519.fsa","139"
"1B7_539520.fsa","142"
"1B7_539520.fsa","153"
"1B8_539521.fsa","144"
"1B8_539521.fsa","146"
"1B9_539522.fsa","144"
"1B9_539522.fsa","146"
"1C1_539523.fsa","144"
"1C1_539523.fsa","153"
"1C2_539524.fsa","139"
"1C2_539524.fsa","153"
"1C3_539525.fsa","146"
"1C3_539525.fsa","149"
"1C4_539526.fsa","142"
"1C4_539526.fsa","146"
"1C5_539527.fsa","139"
"1C5_539527.fsa","146"
"1C7_539529.fsa","137"
"1C7_539529.fsa","146"
"1C8_539530.fsa","144"
"1C8_539530.fsa","146"
"1C9_539531.fsa","133"
"1C9_539531.fsa","142"
"1D1_539532.fsa","146"
"1D2_539533.fsa","142"
"1D2_539533.fsa","146"
"1D3_539534.fsa","133"
"1D3_539534.fsa","146"
"1D4_539535.fsa","126"
"1D4_539535.fsa","142"
"1D5_539536.fsa","126"
"1D5_539536.fsa","139"
"1D6_539537.fsa","142"
"1D6_539537.fsa","146"
"1D7_539538.fsa","144"
"1D7_539538.fsa","146"
"1D8_539539.fsa","144"
"1D8_539539.fsa","149"
"1D9_539540.fsa","149"
"1D9_539540.fsa","155"
"1E1_539541.fsa","144"
"1E1_539541.fsa","155"
"1E2_539542.fsa","144"
"1E2_539542.fsa","155"
"1E3_539543.fsa","149"
"1E3_539543.fsa","155"
"1E4_539544.fsa","144"
"1E4_539544.fsa","155"
"1E5_539545.fsa","153"
"1E5_539545.fsa","155"
"1E6_539546.fsa","144"
"1E6_539546.fsa","153"
"1E7_539547.fsa","144"
"1E7_539547.fsa","155"
"1E8_539548.fsa","144"
"1E8_539548.fsa","149"
"1E9_539549.fsa","144"
"1E9_539549.fsa","149"
"1F1_539550.fsa","149"
"1F1_539550.fsa","155"
"1F2_539551.fsa","149"
"1F2_539551.fsa","155"
"1F3_539552.fsa","144"
"1F3_539552.fsa","153"
"1F4_539553.fsa","144"
"1F4_539553.fsa","149"
"1F5_539554.fsa","144"
"1F5_539554.fsa","155"
"1F6_539555.fsa","144"
"1F6_539555.fsa","149"
"1F7_539556.fsa","142"
"1F7_539556.fsa","149"
"1F8_539557.fsa","149"
"1F8_539557.fsa","155"
"1F9_539558.fsa","144"
"1F9_539558.fsa","155"
