"Sample_ID","F82"
"1A1_539673.fsa","130"
"1A1_539673.fsa","138"
"1A2_539674.fsa","130"
"1A2_539674.fsa","138"
"1A5_541070.fsa","132"
"1A5_541070.fsa","138"
"1A6_541071.fsa","132"
"1A6_541071.fsa","143"
"1A7_541072.fsa","132"
"1A9_541074.fsa","138"
"1B1_541075.fsa","136"
"1B1_541075.fsa","138"
"1B2_541076.fsa","141"
"1B2_541076.fsa","143"
"1B3_541077.fsa","136"
"1B3_541077.fsa","138"
"1B4_541078.fsa","138"
"1B4_541078.fsa","143"
"1B6_541080.fsa","138"
"1B6_541080.fsa","143"
"1B7_541081.fsa","130"
"1B7_541081.fsa","141"
"1B8_541082.fsa","132"
"1B8_541082.fsa","141"
"1B9_541083.fsa","132"
"1B9_541083.fsa","141"
"1C1_541084.fsa","132"
"1C1_541084.fsa","141"
"1C2_541085.fsa","138"
"1C2_541085.fsa","141"
"1C3_541086.fsa","138"
"1C3_541086.fsa","141"
"1C4_541087.fsa","132"
"1C4_541087.fsa","138"
"1C5_541088.fsa","130"
"1C5_541088.fsa","132"
"1C6_541089.fsa","127"
"1C6_541089.fsa","132"
"1C7_541090.fsa","132"
"1C8_541091.fsa","136"
"1C8_541091.fsa","138"
"1C9_541092.fsa","132"
"1C9_541092.fsa","141"
"1D1_541093.fsa","127"
"1D2_541094.fsa","130"
"1D2_541094.fsa","132"
"1D3_541095.fsa","130"
"1D3_541095.fsa","132"
"1D4_541096.fsa","127"
"1D4_541096.fsa","138"
"1D5_541097.fsa","130"
"1D5_541097.fsa","141"
"1D6_541098.fsa","132"
"1D6_541098.fsa","141"
"1D7_541099.fsa","132"
"1D7_541099.fsa","138"
"1D8_541100.fsa","138"
"1D9_541101.fsa","138"
"1E1_541102.fsa","138"
"1E2_541103.fsa","136"
"1E2_541103.fsa","138"
"1E3_541104.fsa","138"
"1E4_541105.fsa","136"
"1E4_541105.fsa","138"
"1E5_541106.fsa","138"
"1E6_541107.fsa","138"
"1E7_541108.fsa","138"
"1E8_541109.fsa","138"
"1E9_541110.fsa","138"
"1E9_541110.fsa","143"
"1F1_541111.fsa","138"
"1F2_541112.fsa","138"
"1F3_541113.fsa","138"
"1F4_541114.fsa","138"
"1F5_541115.fsa","138"
"1F6_541116.fsa","138"
"1F7_541117.fsa","138"
"1F8_541118.fsa","138"
"1F8_541118.fsa","143"
"1F9_541119.fsa","138"
