"Sample_ID","F10"
"1A1_537833.fsa","218"
"1A2_537834.fsa","218"
"1A3_537835.fsa","218"
"1A4_537836.fsa","218"
"1A5_537837.fsa","218"
"1A5_537837.fsa","223"
"1A6_537838.fsa","218"
"1A7_537839.fsa","214"
"1A7_537839.fsa","218"
"1A8_537840.fsa","218"
"1A9_537841.fsa","205"
"1A9_537841.fsa","223"
"1B1_537842.fsa","210"
"1B1_537842.fsa","240"
"1B2_537843.fsa","205"
"1B2_537843.fsa","218"
"1B3_537844.fsa","205"
"1B3_537844.fsa","227"
"1B4_537845.fsa","218"
"1B4_537845.fsa","240"
"1B6_537847.fsa","240"
"1B6_537847.fsa","291"
"1B7_537848.fsa","218"
"1B7_537848.fsa","223"
"1B8_537849.fsa","214"
"1B8_537849.fsa","218"
"1B9_537850.fsa","283"
"1B9_537850.fsa","291"
"1C1_537851.fsa","218"
"1C1_537851.fsa","291"
"1C2_537852.fsa","218"
"1C2_537852.fsa","231"
"1C3_537853.fsa","218"
"1C3_537853.fsa","223"
"1C4_537854.fsa","283"
"1C4_537854.fsa","291"
"1C5_537855.fsa","214"
"1C6_537856.fsa","218"
"1C7_537857.fsa","218"
"1C7_537857.fsa","223"
"1C8_537858.fsa","218"
"1C8_537858.fsa","291"
"1C9_537859.fsa","218"
"1C9_537859.fsa","291"
"1D1_537860.fsa","218"
"1D1_537860.fsa","223"
"1D2_537861.fsa","214"
"1D2_537861.fsa","218"
"1D3_537862.fsa","240"
"1D3_537862.fsa","291"
"1D4_537863.fsa","214"
"1D4_537863.fsa","218"
"1D5_537864.fsa","291"
"1D6_537865.fsa","214"
"1D6_537865.fsa","218"
"1D7_537866.fsa","218"
"1D8_537867.fsa","205"
"1D9_537868.fsa","205"
"1E1_537869.fsa","205"
"1E2_537870.fsa","205"
